,,S1,The guy hammers,coord,315475769,,,,,,,,,
,,S2,The guy chisels,coord,267558782,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
30,fold,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The woman folds,target,144369628,F1_Verb_intransitive_31,,M3_Verb_intransitive_31,,,6,6,1,
,,P1,The woman scolds,mp,50486182,,,,,,,,,
,,P2,The woman holds,mp,207034693,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The woman unfolds,coord,257067604,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The woman irons,un,306279242,,,,,,,,,
,,Un,The woman washes,un,304169150,,,,,,,,,
,,,,,,,,,,,,,,
32,play,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The child plays,target,300259550,F1_Verb_intransitive_33,,M3_Verb_intransitive_33,,,8,4,1,
,,P1,The child pays,mp,127336061,,,,,,,,,
,,P2,The child prays,mp,143759767,,,,,,,,,
,,P3,The child lays,mp,217743628,,,,,,,,,
,,S1,The child paints,assoc,109715168,,,,,,,,,
,,S2,The child draws,assoc,40769832,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
34,pray,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The child prays,target,143759767,F1_Verb_intransitive_35,,M3_Verb_intransitive_35,,,6,4,1,
,,P1,The child pays,mp,127336061,,,,,,,,,
,,P2,The child plays,mp,300259550,,,,,,,,,
,,P3,The child lays,mp,217743628,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The child sings,un,52632099,,,,,,,,,
,,Un,The child paints,un,109715168,,,,,,,,,
,,,,,,,,,,,,,,
37,clean,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The man cleans,target,152942717,F1_Verb_intransitive_38,,M3_Verb_intransitive_38,,,6,5,1,
,,P1,The man leans,mp,238138774,,,,,,,,,
,,P2,The man clears,mp,84571393,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The man dries,coord,236457589,,,,,,,,,
,,S2,The man shaves,coord,45059092,,,,,,,,,
,,Un,The man climbs,un,243235708,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
38,gallops,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The horse gallops,target,296131085,F1_Verb_intransitive_39,,M3_Verb_intransitive_39,,,4,6,2,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,The horse sleeps,coord,269209058,,,,,,,,,
,,S1,The horse stands,coord,234108850,,,,,,,,,
,,S2,The horse walks,coord,310511342,,,,,,,,,
,,Un,The horse eats,un,84453310,,,,,,,,,
,,Un,The horse jumps,un,148809950,,,,,,,,,
,,,,,,,,,,,,,,
39,forages,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The man forages,target,220721464,F1_Verb_intransitive_40,,M3_Verb_intransitive_40,,,4,4,2,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,The man hunts,coord,80321242,,,,,,,,,
,,S1,The man shops,coord,92386033,,,,,,,,,
,,S2,The man cooks,coord,17343484,,,,,,,,,
,,Un,The man gardens,un,287707931,,,,,,,,,
,,Un,The man eats (porridge),un,328727594,,,,,,,,,
,,,,,,,,,,,,,,
40,leans,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The man leans,target,29524403,F1_Verb_intransitive_41,,M3_Verb_intransitive_41,,,5,4,1,
,,P1,The man preans,mp,37714207,,,,,,,,,
,,P2,The man cleans,mp,37984563,,,,,,,,,
,,P3,The man leads,mp,138717797,,,,,,,,,
,,S1,The man lies,coord,50885688,,,,,,,,,
,,S2,The man stands,coord,31871541,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
51,falls,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The man falls,target,35147362,,M2_Verb_intransitive_43,,F2_Verb_intransitive_43,,8,6,1,
,,P1,The man calls,mp,36971928,,,,,,,,,
,,P2,The man fills,mp,223069789,,,,,,,,,
,,P3,The man follows,x,270511217,,,,,,,,,
,,S1,The man jumps,coord,44123146,,,,,,,,,
,,S2,The man bumps (arm),coord,179665787,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
52,hear,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the woman hears,target,332946251,F1_Verb_intransitive_44,,M3_Verb_intransitive_44,,,8,5,1,
,,P1,the woman cheers,mp,256140502,,,,,,,,,
,,P2,the woman shears,mp,212099170,,,,,,,,,
,,P3,the woman steers,mp,274064687,,,,,,,,,
,,S1,the woman smells,coord,284183621,,,,,,,,,
,,S2,the woman looks,coord,695458541,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
53,kneels,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The adult kneels,target,1875828,F1_Verb_intransitive_45,,M3_Verb_intransitive_45,,,4,6,2,
,,P1,The adult deals,mp,8415454,,,,,,,,,
,,P2,The adult feels,mp,496404,,,,,,,,,
,,P3,The adult heals,mp,187871873,,,,,,,,,
,,S1,The adult sits,coord,29524396,,,,,,,,,
,,S2,The adult hops,coord,3233413,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
55,deal,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the man deals,target,8415454,F1_Verb_intransitive_47,,M3_Verb_intransitive_47,,,7,3,1,
,,P1,the man peels,mp,17991200,,,,,,,,,
,,P2,the man kneels,mp,271316276,,,,,,,,,
,,P3,the man feels,mp,257668813,,,,,,,,,
,,S1,the man rolls,assoc,256638031,,,,,,,,,
,,S2,the man plays,assoc,193607378,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
56,peek,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The boy peeks,target,26384143,F1_Verb_intransitive_48,,M3_Verb_intransitive_48,,,3,3,1,
,,P1,The boy speaks,mp,279289346,,,,,,,,,
,,P2,The boy sweeps,close,298044821,,,,,,,,,
,,P3,the boy reeks,mp,8041488,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the boy spins,un,126039770,,,,,,,,,
,,Un,the boy reads,un,61875193,,,,,,,,,
,,,,,,,,,,,,,,
57,build,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the child builds,target,105983540,F1_Verb_intransitive_49,,M3_Verb_intransitive_49,,,8,5,1,
,,P1,the child drills,close,204591244,,,,,,,,,
,,P2,the child grills,close,189968267,,,,,,,,,
,,P3,the child beads,distant,334162937,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the child drums,un,190730795,,,,,,,,,
,,Un,the child pours,un,153884597,,,,,,,,,
,,,,,,,,,,,,,,
59,watch,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the boy watches,target,305250251,F1_Verb_intransitive_51,,M3_Verb_intransitive_51,,,8,7,2,
,,P1,the boy washes,mp,29601772,,,,,,,,,
,,P2,the boy catches,close,115153567,,,,,,,,,
,,P3,the boy sketches,close,313953776,,,,,,,,,
,,S1,the boy listens,coord,292361672,,,,,,,,,
,,S2,the boy smells,coord,91061990,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
60,catch,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the boy catches,target,115153567,F1_Verb_intransitive_52,,M3_Verb_intransitive_52,,,8,6,2,
,,P1,the boy watches,close,305250251,,,,,,,,,
,,P2,the boy sketches,close,313953776,,,,,,,,,
,,P3,the boy kisses,distant,13502128,,,,,,,,,
,,S1,the boy throws,coord,11609345,,,,,,,,,
,,S2,the boy bats,coord,79358443,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
61,work,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The woman works,target,11474454,F1_Verb_intransitive_53,,M3_Verb_intransitive_53,,,8,4,1,
