,,S1,the  sunset is colourful,coord,15135205,,,,,,,,,
,,S2,the umberella is colourful,coord,4096061,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,record,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the record is old,target,758457845,F2_Noun_predicative_36,M1_Noun_predicative_36,,,,8,6,2,
,,P1,the keyboard is old,distant,65485258,,,,,,,,,
,,P2,the wreck is old,close,315699206,,,,,,,,,
,,P3,the cord is old,close,261276545,,,,,,,,,
,,S1,the CD is old,coord,319907015,,,,,,,,,
,,S2,the radio is old,assoc,965485,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,hammer,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,The hammer is best,target,151997177,F2_Noun_predicative_42,M1_Noun_predicative_42,,,,7,7,2,
,,P1,The hamper is best,mp,11339844,,,,,,,,,
,,P2,The hanger is best,mp,121274773,,,,,,,,,
,,P3,The scanner is best,distant,3322510,,,,,,,,,
,,S1,The saw is best,coord,114635122,,,,,,,,,
,,S2,The spanner is best,coord,57316192,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,teapot,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the teapot is brown,target,17010555,F2_Noun_predicative_43,M1_Noun_predicative_43,,,,5,7,2,
,,P1,the teepee is brown,close,170742665,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,the tea is brown,distant,33978516,,,,,,,,,
,,S1,the teabag is brown,coord,37640578,,,,,,,,,
,,S2,the teacup is brown,coord,307023386,,,,,,,,,
,,Un,the kettle is brown,coord,68732179,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,court,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the court is large,target,243765985,F2_Noun_predicative_45,M1_Noun_predicative_45,,,,8,6,1,
