,,,,,,,,,,,,,,
23,swim,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will swim,target,44352166,F1_Tense_simple_23,M3_Tense_simple_23,,,,3,3,1,
,,Foil 1,he swam,past,49643128,,,,,,,,,
,,Foil 2,he swims,present,142342759,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
24,ski,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,she will ski,target,280728410,F1_Tense_simple_24,M3_Tense_simple_24,,,,1,4,1,
,,Foil 1,she skied,past,228934687,,,,,,,,,
,,Foil 2,she skis,present,127158875,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
25,paint,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,she will paint,target,249383818,F1_Tense_simple_25,M3_Tense_simple_25,,,,4,4,1,
,,Foil 1,she painted,past,286392914,,,,,,,,,
,,Foil 2,she paints,present,5985495,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
26,carry,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will carry,target,181414709,F1_Tense_simple_26,M3_Tense_simple_26,,,,4,3,2,
,,Foil 1,he carried,past,73084216,,,,,,,,,
,,Foil 2,he carries,present,310633880,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
27,lick,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will lick,target,47401462,F1_Tense_simple_27,M3_Tense_simple_27,,,,2,4,1,
,,Foil 1,he licked,past,987661,,,,,,,,,
,,Foil 2,he licks,present,12805333,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
