6,her,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,brush,Target,her brush is soft,target,268385192,F1_Pronoun_posssentence_18,,M3_Pronoun_posssentence_18,,,7,8,1,
,,Foil 1,his brush is soft,male,290631104,,,,,,,,,
,,Foil 2,their brush is soft,plural,250769230,,,,,,,,,
,,other,brush,un,29554881,,,,,,,,,
,,other,comb,un,207145168,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7,her,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,dog,Target,her dog  is friendly,target,31857694,F1_Pronoun_posssentence_19,,M3_Pronoun_posssentence_19,,,8,8,1,
,,Foil 1,his dog is friendly,male,291064715,,,,,,,,,
,,Foil 2,their dog  is friendly,plural,25118204,,,,,,,,,
,,other,dog,un,104241857,,,,,,,,,
,,other,dog,un,175510841,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8,her,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,bag,Target,her bag is useful,target,32278607,F1_Pronoun_posssentence_20,,M3_Pronoun_posssentence_20,,,8,8,1,
,,Foil 1,his bag is useful,male,54626915,,,,,,,,,
,,Foil 2,their bag is useful,plural,152086250,,,,,,,,,
,,other,bag,un,92516332,,,,,,,,,
,,other,bag,un,6355906,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9,her,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,icecream,Target,her icecream  is delicious,target,103353431,,F2_Pronoun_posssentence_21,M3_Pronoun_posssentence_21,,,2,6,2,
,,Foil 1,his icecream is delicious,male,285189374,,,,,,,,,
,,Foil 2,their icecream  is delicious,plural,121977184,,,,,,,,,
,,other,icecream,un,115520299,,,,,,,,,
,,other,ice lolly,un,289592339,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10,her,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,tissue,Target,her tissue is wet,target,29925193,,F2_Pronoun_posssentence_22,M3_Pronoun_posssentence_22,,,6,8,2,
,,Foil 1,his tissue is wet,male,47099760,,,,,,,,,
,,Foil 2,their tissue is wet,plural,331056320,,,,,,,,,
,,Foil 3,tissue,un,140848453,,,,,,,,,
,,un,toilet roll,un,36214166,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,her,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,child,Target,her child is young,target,20327430,,F2_Pronoun_posssentence_23,M3_Pronoun_posssentence_23,,,8,8,2,
,,Foil 1,his child is young,male,42635120,,,,,,,,,
,,Foil 2,their child is young,plural,205039681,,,,,,,,,
,,other,child is young,un,298044821,,,,,,,,,
,,other,child is young,un,125834756,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12,her,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,cup,Target,her cup is huge,target,79587922,,F2_Pronoun_posssentence_24,M3_Pronoun_posssentence_24,,,6,8,1,
,,Foil 1,his cup is huge,male,45209191,,,,,,,,,
,,Foil 2,their cup is huge,plural,195169763,,,,,,,,,
,,other,huge cup,un,209171185,,,,,,,,,
,,other,small cup,un,61468480,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,food,Target,their food is tasty,target,207786421,F1_Pronoun_posssentence_25,,M3_Pronoun_posssentence_25,,,8,8,1,
,,Foil 1,his food is tasty,male,183077327,,,,,,,,,
,,Foil 2,her food is tasty,female,240210358,,,,,,,,,
,,other,the cake is tasty,un,1684878,,,,,,,,,
,,other,the vegetable is tasty,un,35749240,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
