,,S2,she offers the person an egg,un,132815768,,,,,,,,,
,,Un,she cracks the person an egg,un,37948588,,,,,,,,,
,,Un,she fries the person an egg,un,247260085,,,,,,,,,
,,,,,,,,,,,,,,
A,tie,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,he ties his friend a book,target,327358220,,M2_verb_ditransitive_21,,F2_Verb_ditransitive_21,,6,7,1,
,,P1,he buys his friend a book,mp,37679035,,,,,,,,,
,,P2,he tears his friend a book,mp,189949892,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,he bites his friend a book,mp,22620931,,,,,,,,,
,,Un,he writes his friend a book,un,233235589,,,,,,,,,
,,Un,he types his friend a book,un,854585459,,,,,,,,,
