,,Foil 3,by the bed,foil 3,94578602,,,,,,,,,
,,Other,dog,other,17161279,,,,,,,,,
,,Other,bed,other,33724414,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the bird is on the tree,target,36970893,F2_Preposition_sentence_13,,M3_Preposition_sentence_13,,,5,2,1,
,,Foil 1,in the tree,foil 1,92161054,,,,,,,,,
,,Foil 2,between the trees,foil 2,659865421,,,,,,,,,
,,Foil 3,under the tree,foil 3,29762175,,,,,,,,,
,,Other,bird,other,33965083,,,,,,,,,
,,Other,tree,other,69106532,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is on the chair,target,2328749,F2_Preposition_sentence_14,,M3_Preposition_sentence_14,,,5,2,1,
,,Foil 1,under the chair,foil 1,46209588,,,,,,,,,
,,Foil 2,between the chairs,foil 2,69405214,,,,,,,,,
,,Foil 3,by the chair,foil 3,89102154,,,,,,,,,
,,Other,cat,other,16409109,,,,,,,,,
,,Other,chair,other,69784520,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the dog is on the bed,target,24813255,F2_Preposition_sentence_15,,M3_Preposition_sentence_15,,,5,2,1,
,,Foil 1,in the bed,foil 1,52087934,,,,,,,,,
,,Foil 2,under the bed,foil 2,51622749,,,,,,,,,
,,Foil 3,by the bed,foil 3,44123146,,,,,,,,,
,,Other,dog,other,36971928,,,,,,,,,
,,Other,bed,other,33724414,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the baby is on the blanket,target,72004771,F2_Preposition_sentence_16,,M3_Preposition_sentence_16,,,5,2,1,
,,Foil 1,in the blanket,foil 1,228668269,,,,,,,,,
,,Foil 2,under the blanket,foil 2,37433095,,,,,,,,,
,,Foil 3,x,x,x,,,,,,,,,
,,Other,baby,other,130223957,,,,,,,,,
,,Other,blanket,other,215048935,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the dog is on the box,target,152951474,F2_Preposition_sentence_17,,M3_Preposition_sentence_17,,,5,2,1,
,,Foil 1,in the box,foil 1,207075325,,,,,,,,,
,,Foil 2,by the box,foil 2,275646770,,,,,,,,,
,,Foil 3,x,x,x,,,,,,,,,
,,Other,dog,other,38095165,,,,,,,,,
,,Other,box,other,20645333,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the mouse is on the crop,target,294080735,F2_Preposition_sentence_18,,M3_Preposition_sentence_18,,,5,2,1,
,,Foil 1,in the crop,foil 1,88928725,,,,,,,,,
,,Foil 2,between the crop,foil 2,286191647,,,,,,,,,
,,Foil 3,under the crop,foil 3,34487284,,,,,,,,,
,,Other,mouse,other,38857743,,,,,,,,,
,,Other,crop,other,86288593,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is on the books,target,295547183,F2_Preposition_sentence_19,,M3_Preposition_sentence_19,,,5,2,1,
,,Foil 1,between the books,foil 1,315380783,,,,,,,,,
,,Foil 2,by the books,foil 2,294937787,,,,,,,,,
,,Foil 3,behind the books,foil 3,183086432,,,,,,,,,
,,Other,under the books,other,219746533,,,,,,,,,
,,Other,cat,other,16409109,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is on the bag,target,203096440,,M1_Preposition_sentence_60,,,,5,2,1,
,,Foil 1,the cat is between the bags,foil 1,269070035,,,,,,,,,
,,Foil 2,the cat is beside the bag,foil 2,12114247,,,,,,,,,
,,Foil 3,the cat is above the bag,foil 3,154116686,,,,,,,,,
,,Other,the cat is under the bag,other,138372416,,,,,,,,,
,,Other,the cat is in the bag,other,12114250,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the person is on the sofa,target,251250307,,M1_Preposition_sentence_61,,,,5,2,1,
,,Foil 1,the person is above the sofa,foil 1,168286901,,,,,,,,,
,,Foil 2,the person is by the sofa,foil 2,269726894,,,,,,,,,
,,Foil 3,the person is behind the sofa,foil 3,350362565,,,,,,,,,
,,Other,sofa,other,166462706,,,,,,,,,
,,Other,sofa,other,14352447,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is on the dog,target,200514218,,M1_Preposition_sentence_62,,,,5,2,1,
,,Foil 1,the cat is under the dog,foil 1,132126536,,,,,,,,,
,,Foil 2,the cat is beside the dog,foil 2,78196291,,,,,,,,,
,,Foil 3,the cat is between the dogs,foil 3,34195045,,,,,,,,,
,,Other,dogs,other,195612003,,,,,,,,,
,,Other,cats,other,781967421,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
13,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is on the bowl,target,260805896,,M1_Preposition_sentence_63,,,,5,2,1,
,,Foil 1,the cat is inside the bowl,foil 1,3313081,,,,,,,,,
,,Foil 2,the cat is by the bowl,foil 2,3172869,,,,,,,,,
,,Foil 3,the cat is behind the bowl,foil 3,105952298,,,,,,,,,
,,Other,the cats is over the bowl,other,37408315,,,,,,,,,
,,Other,the cat is between the bowls,other,6385728295,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
14,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
