,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the child drums during play time,un,190730795,,,,,,,,,
,,Un,the child pours during play time,un,153884597,,,,,,,,,
,,,,,,,,,,,,,,
36,work,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The man works on the beach,target,107447321,F1_Verb_IntransitivePP_36,,M3_Verb_IntransitivePP_36,,,8,4,1,
,,P1,The man walks on the beach,close,116973553,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The man relaxes on the beach,coord,221420479,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The man runs on the beach,un,208693156,,,,,,,,,
,,Un,The man stretches on the beach,un,140211604,,,,,,,,,
,,,,,,,,,,,,,,
38,bleed,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The man bleeds in the kitchen,target,313964276,F1_Verb_IntransitivePP_38,,M3_Verb_IntransitivePP_38,,,5,6,1,
,,P1,The man blends in the kitchen,close,38668822,,,,,,,,,
,,P2,The man kneads in the kitchen,mp,261246989,,,,,,,,,
,,P3,The man reads in the kitchen,mp,151267166,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The man chops in the kitchen,un,10681814,,,,,,,,,
,,Un,The man irons in the kitchen,un,306279242,,,,,,,,,
,,,,,,,,,,,,,,
41,weed,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The woman weeds in her garden,target,318814274,F1_Verb_IntransitivePP_41,,M3_Verb_IntransitivePP_41,,,3,4,1,
,,P1,The woman reads in her garden,mp,155613134,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,The woman weaves in her garden,mp,286412933,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,The woman prunes in her garden,coord,32425432,,,,,,,,,
,,Un,The woman smells in her garden,un,284183621,,,,,,,,,
,,Un,The woman relaxes in her garden,un,311038037,,,,,,,,,
,,,,,,,,,,,,,,
43,dive,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The man dives in the water,target,96072599,F1_Verb_IntransitivePP_43,,M3_Verb_IntransitivePP_43,,,4,6,1,
,,P1,The man drives in the water,mp,331319549,,,,,,,,,
,,P2,The man dries in the water,mp,146830787,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The man swims in the water,assoc,142342759,,,,,,,,,
,,S2,The man jumps in the water,coord,74528317,,,,,,,,,
,,Un,The man floats in the water,un,143702194,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
44,recycle,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the girl recycles in the park,target,195090890,F1_Verb_IntransitivePP_44,,M3_Verb_IntransitivePP_44,,,5,3,3,
,,P1,the girl cycles in the park,close,301827464,,,,,,,,,
,,P2,the girl rakes in the park,distant,161480588,,,,,,,,,
,,P3,the girl recovers in the park,distant,321158423,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the girl skates in the park,un,161112296,,,,,,,,,
,,Un,the girl skateboards in the park,un,142829050,,,,,,,,,
,,,,,,,,,,,,,,
48,relax,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the man relaxes on the beach,target,221420479,F1_Verb_IntransitivePP_48,,M3_Verb_IntransitivePP_48,,,7,3,3,
,,P1,the man boxes on the beach,distant,107697251,,,,,,,,,
,,P2,the man researches on the beach,distant,45589390,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the man works on the beach,coord,107447321,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the man stretches on the beach,un,140211604,,,,,,,,,
,,Un,the man runs on the beach,un,208693156,,,,,,,,,
,,,,,,,,,,,,,,
49,write,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The woman writes in her garden,target,296196317,F1_Verb_IntransitivePP_49,,M3_Verb_IntransitivePP_49,,,7,6,1,
,,P1,the woman bites in her garden,mp,12212707,,,,,,,,,
,,P2,the woman types in her garden,distant,157422422,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The woman reads in her garden,coord,155613134,,,,,,,,,
,,S2,the woman paints in her garden,coord,73113829,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,The woman weeds in her garden,un,318814274,,,,,,,,,
,,,,,,,,,,,,,,
51,wash,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the boy washes on his birthday,target,29601772,F1_Verb_IntransitivePP_51,,M3_Verb_IntransitivePP_51,,,7,6,2,
,,P1,the boy watches on his birthday,mp,305250251,,,,,,,,,
,,P2,the boy wishes on his birthday,mp,59821090,,,,,,,,,
