,,P2,x,x,x,,,,,,,,,,,,,
,,P3,grave,mp,374279860,,,,,,,,,,,,,
,,S1,boat,assoc,242000377,,,,,,,,,,,,,
,,S2,wind,assoc,60011,,,,,,,,,,,,,
,,Un,save,un,90869516,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
14,plane,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,plane,target,42196282,,,M2_Noun_single_1syll_186,F1_Noun_single_1syll_186,,7,7,1,,,,,
,,P1,lane,mp,21213726,,,,,,,,,,,,,
,,P2,x,x,x,,,,,,,,,,,,,
,,P3,pain,mp,174531992,,,,,,,,,,,,,
,,S1,boat,coord,157824602,,,,,,,,,,,,,
,,S2,car,coord,9545845848,,,,,,,,,,,,,
,,Un,pane,un,256784143,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
15,suit,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,suit,target,96547844,,,M2_Noun_single_1syll_187,F1_Noun_single_1syll_187,,7,7,1,,,,,
,,P1,boot,mp,103290425,,,,,,,,,,,,,
,,P2,root,mp,104458295,,,,,,,,,,,,,
,,P3,flute,mp,74014495,,,,,,,,,,,,,
,,S1,dress,coord,27455199,,,,,,,,,,,,,
,,S2,briefcase,assoc,95587774,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,pan,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,pan,target,15791161,,,M2_Noun_single_1syll_188,F1_Noun_single_1syll_188,,7,7,1,,,,,
,,P1,can,mp,31871613,,,,,,,,,,,,,
,,P2,fan,mp,86530687,,,,,,,,,,,,,
,,P3,plan,mp,27330630,,,,,,,,,,,,,
,,S1,spoon,assoc,241049668,,,,,,,,,,,,,
,,S2,plate,assoc,40776951,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
